time,ax,ay,az,atotal
2022-08-11 17:49:33.6440,-0.42,-0.6,2.6,2.7
2022-08-11 17:49:33.6500,-0.59,-0.3,2.59,2.67
2022-08-11 17:49:33.6590,-0.4,-0.15,2.34,2.37
2022-08-11 17:49:33.6700,-0.13,0.12,2.25,2.25
2022-08-11 17:49:33.6790,0.19,0.44,2.21,2.26
2022-08-11 17:49:33.6900,0.52,0.75,2.05,2.24
2022-08-11 17:49:33.6990,0.54,1.04,1.94,2.26
2022-08-11 17:49:33.7090,0.39,1.12,1.86,2.2
2022-08-11 17:49:33.7200,0.04,1.04,1.69,1.98
2022-08-11 17:49:33.7280,-0.12,0.68,1.5,1.65
2022-08-11 17:49:33.7460,-0.14,0.85,1.61,1.82
2022-08-11 17:49:33.7500,0.22,0.98,1.55,1.84
2022-08-11 17:49:33.7580,0.86,1.2,1.47,2.08
2022-08-11 17:49:33.7690,1.33,1.72,1.41,2.59
2022-08-11 17:49:33.7790,1.69,1.83,1.21,2.76
2022-08-11 17:49:33.7880,1.74,1.6,0.98,2.55
2022-08-11 17:49:33.7980,1.43,1.06,0.78,1.94
2022-08-11 17:49:33.8090,1.08,0.04,0.57,1.22
2022-08-11 17:49:33.8190,1.04,-0.35,0.54,1.22
2022-08-11 17:49:33.8280,1.38,0.12,0.62,1.51
2022-08-11 17:49:33.8450,1.81,0.72,0.51,2.01
2022-08-11 17:49:33.8490,1.88,1.31,0.46,2.33
2022-08-11 17:49:33.8590,1.85,1.39,0.17,2.32
2022-08-11 17:49:33.8690,1.6,1.45,-0.09,2.16
2022-08-11 17:49:33.8770,1.18,1.68,-0.47,2.1
2022-08-11 17:49:33.8870,0.89,2.51,-0.74,2.76
2022-08-11 17:49:33.8970,0.45,3.63,-0.92,3.77
2022-08-11 17:49:33.9080,-0.07,4.56,-1.23,4.72
2022-08-11 17:49:33.9180,-0.5,4.84,-1.77,5.17
2022-08-11 17:49:33.9280,-0.97,5.09,-2.1,5.59
2022-08-11 17:49:33.9550,-1.29,4.94,-2.25,5.57
2022-08-11 17:49:33.9590,-1.47,4.7,-2.27,5.42
2022-08-11 17:49:33.9630,-1.48,4.31,-2.33,5.11
2022-08-11 17:49:33.9670,-1.47,3.82,-2.3,4.69
2022-08-11 17:49:33.9770,-1.39,3.4,-2.1,4.23
2022-08-11 17:49:33.9860,-1.52,2.57,-1.96,3.57
2022-08-11 17:49:33.9960,-1.75,1.22,-1.82,2.8
2022-08-11 17:49:34.0060,-1.64,0.25,-1.66,2.34
2022-08-11 17:49:34.0160,-1.09,-0.25,-1.49,1.86
2022-08-11 17:49:34.0260,-0.48,-0.6,-1.22,1.44
2022-08-11 17:49:34.0460,0.04,-1.03,-0.87,1.34
2022-08-11 17:49:34.0500,0.6,-1.25,-0.49,1.47
2022-08-11 17:49:34.0560,1.13,-1.46,-0.23,1.86
2022-08-11 17:49:34.0660,1.51,-1.82,-0.14,2.36
2022-08-11 17:49:34.0760,1.66,-2.36,-0.06,2.88
2022-08-11 17:49:34.0860,1.41,-2.48,0.21,2.86
2022-08-11 17:49:34.0960,1.21,-2.24,0.55,2.6
2022-08-11 17:49:34.1070,1.0,-1.82,0.72,2.19
2022-08-11 17:49:34.1170,0.81,-1.28,0.8,1.71
2022-08-11 17:49:34.1270,0.76,-1.03,0.7,1.45
2022-08-11 17:49:34.1360,0.74,-0.95,0.59,1.34
2022-08-11 17:49:34.1480,0.59,-0.83,0.68,1.22
2022-08-11 17:49:34.1570,0.35,-0.64,0.79,1.07
2022-08-11 17:49:34.1660,0.21,-0.23,0.8,0.85
2022-08-11 17:49:34.1750,0.03,0.29,0.75,0.8
2022-08-11 17:49:34.1850,-0.22,0.52,0.67,0.87
2022-08-11 17:49:34.1950,-0.51,0.56,0.64,0.99
2022-08-11 17:49:34.2060,-0.64,0.49,0.63,1.02
2022-08-11 17:49:34.2150,-0.5,0.35,0.55,0.82
2022-08-11 17:49:34.2250,-0.3,0.31,0.46,0.63
2022-08-11 17:49:34.2350,-0.06,0.16,0.32,0.36
2022-08-11 17:49:34.2470,-0.06,-0.08,0.36,0.37
2022-08-11 17:49:34.2560,-0.17,-0.3,0.43,0.55
2022-08-11 17:49:34.2640,-0.26,-0.36,0.45,0.63
2022-08-11 17:49:34.2740,-0.27,-0.34,0.44,0.61
2022-08-11 17:49:34.2850,-0.29,-0.37,0.45,0.65
2022-08-11 17:49:34.2950,-0.22,-0.53,0.56,0.8
2022-08-11 17:49:34.3040,0.03,-0.67,0.6,0.89
2022-08-11 17:49:34.3140,0.15,-0.72,0.6,0.94
2022-08-11 17:49:34.3250,0.3,-0.71,0.5,0.91
2022-08-11 17:49:34.3340,0.42,-0.56,0.37,0.79
2022-08-11 17:49:34.3500,0.35,-0.39,0.34,0.62
2022-08-11 17:49:34.3550,0.18,-0.27,0.36,0.48
2022-08-11 17:49:34.3640,-0.06,-0.2,0.45,0.49
2022-08-11 17:49:34.3740,-0.18,-0.27,0.55,0.63
2022-08-11 17:49:34.3850,-0.2,-0.58,0.46,0.76
2022-08-11 17:49:34.3930,-0.14,-0.96,0.32,1.02
2022-08-11 17:49:34.4030,0.1,-1.04,0.28,1.08
2022-08-11 17:49:34.4140,0.37,-0.75,0.27,0.87
2022-08-11 17:49:34.4230,0.39,-0.6,0.29,0.77
2022-08-11 17:49:34.4330,0.16,-0.68,0.4,0.8
2022-08-11 17:49:34.4470,-0.14,-0.93,0.54,1.08
