time,ax,ay,az,atotal
2022-08-11 17:53:55.2290,-0.1,-0.73,0.02,0.73
2022-08-11 17:53:55.2360,-0.21,-0.57,-0.13,0.62
2022-08-11 17:53:55.2460,-0.22,-0.84,-0.09,0.87
2022-08-11 17:53:55.2570,-0.26,-1.16,0.02,1.18
2022-08-11 17:53:55.2650,-0.38,-1.36,0.35,1.45
2022-08-11 17:53:55.2760,-0.49,-1.59,0.61,1.77
2022-08-11 17:53:55.2850,-0.38,-1.74,0.54,1.86
2022-08-11 17:53:55.2950,-0.19,-1.66,0.7,1.81
2022-08-11 17:53:55.3070,-0.13,-1.43,0.86,1.67
2022-08-11 17:53:55.3280,0.05,-1.45,0.77,1.64
2022-08-11 17:53:55.3300,0.17,-1.42,0.86,1.66
2022-08-11 17:53:55.3350,0.1,-1.39,1.06,1.75
2022-08-11 17:53:55.3450,0.09,-1.7,1.09,2.02
2022-08-11 17:53:55.3550,0.01,-1.88,1.16,2.2
2022-08-11 17:53:55.3660,0.04,-1.83,1.19,2.18
2022-08-11 17:53:55.3750,0.01,-1.75,1.09,2.06
2022-08-11 17:53:55.3850,0.27,-1.48,1.27,1.96
2022-08-11 17:53:55.3960,0.42,-1.16,1.34,1.82
2022-08-11 17:53:55.4040,0.55,-1.03,1.44,1.85
2022-08-11 17:53:55.4230,0.57,-0.97,1.32,1.73
2022-08-11 17:53:55.4270,0.6,-0.9,1.23,1.63
2022-08-11 17:53:55.4340,0.4,-0.69,1.27,1.49
2022-08-11 17:53:55.4450,0.25,-0.53,1.37,1.49
2022-08-11 17:53:55.4560,0.31,-0.42,1.49,1.57
2022-08-11 17:53:55.4640,0.4,-0.29,1.45,1.53
2022-08-11 17:53:55.4750,0.51,0.02,1.52,1.6
2022-08-11 17:53:55.4840,0.64,0.24,1.5,1.64
2022-08-11 17:53:55.4940,0.85,0.36,1.44,1.71
2022-08-11 17:53:55.5040,0.88,0.54,1.41,1.74
2022-08-11 17:53:55.5140,0.81,0.59,1.48,1.78
2022-08-11 17:53:55.5290,0.56,0.29,1.75,1.86
2022-08-11 17:53:55.5330,0.24,0.01,2.0,2.01
2022-08-11 17:53:55.5430,0.12,-0.02,2.07,2.07
2022-08-11 17:53:55.5540,0.25,0.13,2.13,2.14
2022-08-11 17:53:55.5630,0.49,0.36,2.13,2.21
2022-08-11 17:53:55.5750,0.87,0.85,2.0,2.34
2022-08-11 17:53:55.5830,1.16,1.25,1.89,2.54
2022-08-11 17:53:55.5940,1.41,1.28,1.7,2.55
2022-08-11 17:53:55.6030,1.38,0.98,1.51,2.26
2022-08-11 17:53:55.6130,1.11,0.63,1.52,1.98
2022-08-11 17:53:55.6280,0.72,0.43,1.79,1.97
2022-08-11 17:53:55.6320,0.31,0.64,2.05,2.16
2022-08-11 17:53:55.6440,0.16,0.85,2.2,2.36
2022-08-11 17:53:55.6530,0.18,0.99,2.05,2.28
2022-08-11 17:53:55.6630,0.31,1.02,1.82,2.1
2022-08-11 17:53:55.6740,0.5,0.96,1.54,1.88
2022-08-11 17:53:55.6820,0.54,0.66,1.16,1.43
2022-08-11 17:53:55.6920,0.43,0.25,0.85,0.98
2022-08-11 17:53:55.7020,0.28,-0.09,0.66,0.72
2022-08-11 17:53:55.7120,0.16,-0.28,0.58,0.66
2022-08-11 17:53:55.7260,0.14,-0.49,0.45,0.67
2022-08-11 17:53:55.7330,-0.01,-0.79,0.63,1.01
2022-08-11 17:53:55.7430,-0.15,-1.05,0.65,1.24
2022-08-11 17:53:55.7530,0.27,-0.91,0.39,1.02
2022-08-11 17:53:55.7620,0.91,-0.06,0.18,0.92
2022-08-11 17:53:55.7720,1.14,0.51,-0.16,1.25
2022-08-11 17:53:55.7820,1.11,0.94,-0.37,1.5
2022-08-11 17:53:55.7920,0.81,0.98,-0.52,1.37
2022-08-11 17:53:55.8030,0.56,0.58,-0.5,0.94
2022-08-11 17:53:55.8120,0.28,0.37,-0.24,0.52
2022-08-11 17:53:55.8280,0.09,0.36,0.21,0.42
2022-08-11 17:53:55.8320,0.17,0.77,0.39,0.87
2022-08-11 17:53:55.8420,0.57,1.23,0.42,1.41
2022-08-11 17:53:55.8510,0.96,1.84,0.38,2.1
2022-08-11 17:53:55.8630,1.22,2.15,0.45,2.51
2022-08-11 17:53:55.8710,1.15,1.83,0.34,2.18
2022-08-11 17:53:55.8830,0.92,1.09,0.31,1.45
2022-08-11 17:53:55.8910,0.6,0.07,0.52,0.79
2022-08-11 17:53:55.9010,0.61,-0.29,0.94,1.15
2022-08-11 17:53:55.9110,0.9,-0.15,1.07,1.4
2022-08-11 17:53:55.9300,1.31,0.21,0.9,1.6
2022-08-11 17:53:55.9330,1.25,0.54,0.88,1.62
2022-08-11 17:53:55.9410,1.19,0.62,0.6,1.46
2022-08-11 17:53:55.9520,1.32,1.15,0.12,1.75
